MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10003448599,000000000023738688,0.204,Active Import Interval (kW),26-09-2024 09:00
10003448599,000000000023738688,0.160,Active Import Interval (kW),26-09-2024 08:30
10003448599,000000000023738688,1.636,Active Import Interval (kW),26-09-2024 08:00
10003448599,000000000023738688,2.750,Active Import Interval (kW),26-09-2024 07:30
10003448599,000000000023738688,0.100,Active Import Interval (kW),26-09-2024 07:00
10003448599,000000000023738688,0.118,Active Import Interval (kW),26-09-2024 06:30
10003448599,000000000023738688,0.160,Active Import Interval (kW),26-09-2024 06:00
10003448599,000000000023738688,0.162,Active Import Interval (kW),26-09-2024 05:30
10003448599,000000000023738688,0.158,Active Import Interval (kW),26-09-2024 05:00
10003448599,000000000023738688,0.110,Active Import Interval (kW),26-09-2024 04:30
10003448599,000000000023738688,0.100,Active Import Interval (kW),26-09-2024 04:00
10003448599,000000000023738688,0.156,Active Import Interval (kW),26-09-2024 03:30
10003448599,000000000023738688,0.176,Active Import Interval (kW),26-09-2024 03:00
10003448599,000000000023738688,0.144,Active Import Interval (kW),26-09-2024 02:30
10003448599,000000000023738688,0.146,Active Import Interval (kW),26-09-2024 02:00
10003448599,000000000023738688,0.338,Active Import Interval (kW),26-09-2024 01:30
10003448599,000000000023738688,1.550,Active Import Interval (kW),26-09-2024 01:00
10003448599,000000000023738688,2.024,Active Import Interval (kW),26-09-2024 00:30
10003448599,000000000023738688,1.302,Active Import Interval (kW),26-09-2024 00:00
10003448599,000000000023738688,0.242,Active Import Interval (kW),25-09-2024 23:30
10003448599,000000000023738688,0.298,Active Import Interval (kW),25-09-2024 23:00
10003448599,000000000023738688,0.296,Active Import Interval (kW),25-09-2024 22:30
10003448599,000000000023738688,0.306,Active Import Interval (kW),25-09-2024 22:00
10003448599,000000000023738688,0.300,Active Import Interval (kW),25-09-2024 21:30
10003448599,000000000023738688,0.292,Active Import Interval (kW),25-09-2024 21:00
10003448599,000000000023738688,0.280,Active Import Interval (kW),25-09-2024 20:30
10003448599,000000000023738688,0.222,Active Import Interval (kW),25-09-2024 20:00
10003448599,000000000023738688,0.138,Active Import Interval (kW),25-09-2024 19:30
10003448599,000000000023738688,0.158,Active Import Interval (kW),25-09-2024 19:00
10003448599,000000000023738688,0.204,Active Import Interval (kW),25-09-2024 18:30
10003448599,000000000023738688,0.220,Active Import Interval (kW),25-09-2024 18:00
10003448599,000000000023738688,0.232,Active Import Interval (kW),25-09-2024 17:30
10003448599,000000000023738688,0.226,Active Import Interval (kW),25-09-2024 17:00
10003448599,000000000023738688,0.186,Active Import Interval (kW),25-09-2024 16:30
10003448599,000000000023738688,0.274,Active Import Interval (kW),25-09-2024 16:00
